year,gender,count
1800,women,41
1800,unknown,13
1800,male,28
1801,women,44
1801,unknown,12
1801,male,18
1802,women,29
1802,unknown,10
1802,male,22
1803,women,33
1803,unknown,11
1803,male,35
1804,unknown,8
1804,male,37
1804,women,30
1805,male,30
1805,women,34
1805,unknown,12
1806,male,23
1806,women,39
1806,unknown,10
1807,male,31
1807,unknown,8
1807,women,30
1808,unknown,20
1808,male,42
1808,women,49
1809,unknown,10
1809,male,32
1809,women,37
1810,unknown,18
1810,male,22
1810,women,51
1811,unknown,12
1811,male,32
1811,women,36
1812,women,33
1812,unknown,17
1812,male,17
1813,male,19
1813,unknown,6
1813,women,39
1814,unknown,5
1814,male,17
1814,women,41
1815,male,18
1815,women,23
1815,unknown,12
1816,male,16
1816,women,30
1816,unknown,13
1817,male,16
1817,women,30
1817,unknown,9
1818,unknown,13
1818,male,19
1818,women,30
1819,male,20
1819,women,32
1819,unknown,21
1820,women,28
1820,unknown,8
1820,male,34
1821,unknown,13
1821,male,35
1821,women,27
1822,unknown,14
1822,male,39
1822,women,29
1823,unknown,12
1823,women,32
1823,male,43
1824,women,40
1824,male,47
1824,unknown,12
1825,unknown,11
1825,male,55
1825,women,25
1826,women,28
1826,unknown,7
1826,male,42
1827,women,29
1827,unknown,11
1827,male,40
1828,unknown,13
1828,women,27
1828,male,43
1829,male,48
1829,women,24
1829,unknown,11
